CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
615,France,Male,35,7,0.0,2,1,0,150784.29,0,0,1,GOLD,948
701,France,Male,39,2,0.0,2,1,1,82526.92,0,0,4,DIAMOND,812
707,France,Male,29,4,0.0,2,1,0,139953.94,0,0,4,GOLD,565
797,France,Male,30,10,69413.44,1,1,1,74637.57,0,0,4,GOLD,856
641,France,Male,50,6,153590.73,2,1,1,130910.78,0,0,4,SILVER,656
654,Spain,Male,40,5,105683.63,1,1,0,173617.09,0,0,5,DIAMOND,250
668,Germany,Female,46,7,161806.09,1,1,1,173052.19,0,0,4,GOLD,794
760,Spain,Female,32,2,0.0,1,1,1,114565.35,0,0,4,GOLD,625
616,France,Male,46,2,0.0,2,1,0,137136.46,0,0,2,GOLD,646
709,France,Male,36,0,0.0,2,1,0,46811.77,0,0,3,GOLD,716
657,France,Male,37,4,82500.28,1,1,1,115260.72,0,0,5,SILVER,603
595,France,Female,39,7,120962.13,1,0,0,23305.01,0,0,3,DIAMOND,359
808,France,Male,24,4,122168.65,1,1,0,174107.04,0,0,4,GOLD,233
586,France,Female,52,6,140900.97,1,1,1,67288.89,0,0,3,SILVER,396
454,Spain,Female,48,5,144837.79,1,1,1,93151.77,0,0,2,DIAMOND,325
616,Spain,Female,44,7,193213.02,2,1,1,137392.77,0,0,1,GOLD,364
705,France,Male,32,3,0.0,2,0,0,129576.99,0,0,2,DIAMOND,789
586,Germany,Male,38,2,136858.42,1,0,1,189143.94,0,0,2,DIAMOND,840
560,France,Female,30,0,108883.29,1,1,0,27914.95,0,0,5,GOLD,469
538,France,Male,37,1,134752.08,1,1,0,162511.55,0,0,2,SILVER,710
597,France,Male,45,7,0.0,2,0,0,167756.45,0,0,2,PLATINUM,972
627,France,Male,33,5,0.0,2,1,1,103737.82,0,0,4,PLATINUM,499
734,Spain,Female,37,2,130404.92,1,0,0,34548.74,0,0,2,DIAMOND,434
634,France,Female,24,2,87413.19,1,1,0,63340.65,0,0,5,GOLD,505
644,France,Female,37,8,0.0,2,1,0,20968.88,0,0,3,GOLD,910
446,France,Female,39,1,90217.07,1,1,0,191350.48,0,0,3,GOLD,562
724,Spain,Male,45,5,83888.54,1,0,1,34121.81,0,0,3,SILVER,559
645,Spain,Male,38,1,68079.8,1,0,1,166264.89,0,0,1,PLATINUM,746
649,France,Male,37,9,87374.88,2,1,1,247.36,0,0,1,PLATINUM,245
626,Germany,Male,27,4,115084.53,2,0,1,26907.43,0,0,3,GOLD,258
597,Spain,Male,38,1,0.0,2,1,0,41303.29,0,0,3,DIAMOND,476
733,Germany,Male,31,6,157791.07,2,0,0,177994.81,0,0,5,SILVER,845
492,Germany,Female,49,2,151249.45,2,1,1,167237.94,0,0,4,GOLD,543
637,France,Male,27,1,0.0,2,1,0,91291.2,0,0,4,GOLD,304
631,Spain,Female,31,2,88161.85,2,1,0,127630.88,0,0,1,PLATINUM,804
606,Germany,Female,32,1,106301.85,2,0,1,59061.25,0,0,3,GOLD,469
664,France,Male,40,7,125608.72,1,1,0,122073.48,0,0,2,PLATINUM,458
531,Spain,Male,70,1,0.0,2,0,0,99503.19,0,0,2,PLATINUM,982
581,Spain,Male,43,9,78022.61,1,0,1,30662.91,0,0,4,PLATINUM,914
766,France,Female,52,7,92510.9,2,0,1,66193.61,0,0,5,DIAMOND,839
682,Germany,Male,81,6,122029.15,1,1,1,50783.88,0,0,4,PLATINUM,526
702,Spain,Female,26,4,135219.57,1,0,1,59747.63,0,0,4,DIAMOND,267
637,Spain,Female,22,5,98800.0,1,1,0,122865.55,0,0,2,SILVER,430
803,France,Male,31,9,157120.86,2,1,0,141300.53,0,0,3,GOLD,963
666,France,Male,30,7,109805.3,1,0,1,163625.56,0,0,4,DIAMOND,957
492,France,Male,35,8,121063.49,1,0,0,85421.48,0,0,1,PLATINUM,656
746,Spain,Male,24,10,68781.82,1,0,1,47997.39,0,0,1,SILVER,282
822,Germany,Female,46,3,115074.02,2,1,0,26249.86,0,0,4,GOLD,649
487,France,Female,53,10,89550.85,1,0,1,90076.85,0,0,3,SILVER,575
850,Spain,Female,50,10,0.0,2,1,1,33741.84,0,0,2,PLATINUM,802
701,France,Male,41,10,0.0,2,1,1,146257.77,0,0,4,PLATINUM,629
576,Germany,Male,30,7,132174.41,2,0,0,93767.03,0,0,1,GOLD,546
605,France,Male,36,7,128829.25,1,1,0,190588.59,0,0,2,SILVER,879
559,France,Male,28,3,141099.43,1,1,1,15607.27,0,0,3,PLATINUM,328
809,France,Male,24,7,109558.36,1,1,0,183515.13,0,0,5,GOLD,483
669,France,Male,26,4,0.0,2,1,1,197594.34,0,0,2,GOLD,829
627,Spain,Male,41,5,100880.76,1,0,1,134665.25,0,0,4,GOLD,395
660,France,Male,37,2,97324.91,1,1,0,23291.83,0,0,2,DIAMOND,942
709,France,Male,38,5,0.0,2,1,1,81452.29,0,0,1,DIAMOND,649
680,Spain,Female,37,6,124140.57,2,1,0,92826.35,0,0,1,GOLD,460
677,France,Male,42,5,99580.13,1,1,0,21007.96,0,0,1,GOLD,627
601,France,Male,74,2,0.0,2,0,1,51554.58,0,0,5,DIAMOND,564
508,France,Male,26,7,205962.0,1,1,0,156424.4,0,0,1,DIAMOND,954
536,Germany,Male,23,6,92366.72,2,1,0,120661.71,0,0,2,DIAMOND,733
832,France,Female,29,5,0.0,2,1,0,178779.52,0,0,5,PLATINUM,922
768,France,Male,54,8,69712.74,1,1,1,69381.05,0,0,3,SILVER,569
624,France,Female,23,5,0.0,2,0,0,132418.59,0,0,5,GOLD,965
622,France,Male,26,9,0.0,2,1,1,153237.59,0,0,3,PLATINUM,344
705,Spain,Male,33,7,68423.89,1,1,1,64872.55,0,0,1,DIAMOND,660
561,Spain,Male,28,6,123692.0,1,1,1,70548.96,0,0,4,GOLD,615
612,France,Female,35,3,0.0,1,1,1,48108.72,0,0,4,GOLD,334
557,France,Female,46,4,96173.17,2,1,1,116378.31,0,0,5,GOLD,689
560,France,Female,38,5,83714.41,1,1,1,33245.97,0,0,4,SILVER,289
686,Germany,Female,56,5,111642.08,1,1,1,80553.87,0,0,5,DIAMOND,799
679,Spain,Male,58,9,109327.65,1,1,1,3829.13,0,0,3,DIAMOND,902
699,France,Male,34,2,117468.67,1,1,0,185227.42,0,0,5,GOLD,825
793,Spain,Male,29,8,96674.55,2,0,0,192120.66,0,0,4,DIAMOND,558
749,France,Male,42,2,56726.83,2,0,1,185543.35,0,0,2,SILVER,937
666,France,Female,59,5,0.0,2,1,1,185123.09,0,0,2,DIAMOND,892
700,Spain,Female,43,0,0.0,2,1,0,59475.35,0,0,4,SILVER,997
717,France,Male,38,7,97459.06,1,0,0,189175.71,0,0,2,PLATINUM,676
718,France,Male,36,9,0.0,1,1,0,45909.87,0,0,1,DIAMOND,939
657,Germany,Male,30,1,139762.13,2,1,1,23317.88,0,0,5,SILVER,731
492,France,Male,35,4,141359.37,2,1,0,39519.53,0,0,3,PLATINUM,807
718,Spain,Male,28,6,0.0,2,1,0,146875.86,0,0,4,DIAMOND,319
696,Germany,Female,27,2,96129.32,2,1,1,5983.7,0,0,1,PLATINUM,459
539,France,Male,39,3,0.0,2,1,0,36692.17,0,0,1,SILVER,426
649,France,Female,41,3,130931.83,1,1,1,144808.37,0,0,1,PLATINUM,457
850,Germany,Male,41,8,60880.68,1,1,0,31825.84,0,0,4,SILVER,448
669,France,Female,33,9,0.0,2,0,1,107221.03,0,0,2,PLATINUM,689
719,Spain,Female,40,9,0.0,2,1,0,182224.14,0,0,1,GOLD,238
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595
655,Spain,Female,29,9,0.0,2,0,1,85736.26,0,0,5,DIAMOND,686
598,Spain,Female,56,4,98365.33,1,1,1,44251.33,0,0,5,DIAMOND,850
751,France,Male,42,4,0.0,2,1,1,81442.6,0,0,2,DIAMOND,997
608,France,Female,34,4,88772.87,1,1,1,168822.01,0,0,1,GOLD,626
729,Spain,Female,38,10,0.0,2,1,0,189727.12,0,0,1,PLATINUM,975
613,Spain,Male,30,9,111927.45,1,1,1,175795.87,0,0,1,SILVER,515
543,Germany,Female,37,3,122304.65,2,0,0,33998.7,0,0,3,DIAMOND,684
643,France,Male,39,7,0.0,2,1,1,170392.59,0,0,3,PLATINUM,677
672,Germany,Male,40,4,89025.88,2,1,0,188892.19,0,0,1,GOLD,955
506,Spain,Male,32,8,0.0,2,0,1,182692.8,0,0,4,DIAMOND,671
731,Spain,Male,41,3,0.0,2,1,0,101371.72,0,0,4,PLATINUM,292
685,Germany,Male,38,4,111798.06,2,1,1,102184.66,0,0,2,SILVER,416
711,France,Female,28,8,0.0,2,0,0,105159.89,0,0,2,GOLD,459
563,France,Male,22,3,137583.04,1,0,1,5791.85,0,0,2,SILVER,628
686,France,Female,47,5,113328.93,1,1,0,124170.9,0,0,4,PLATINUM,666
539,France,Male,39,6,0.0,2,1,1,86767.48,0,0,5,PLATINUM,315
743,France,Male,42,7,77002.2,2,1,1,80428.42,0,0,2,PLATINUM,993
688,France,Male,26,0,0.0,2,1,0,105784.85,0,0,4,PLATINUM,827
666,Germany,Male,74,7,105102.5,1,1,1,46172.47,0,0,2,DIAMOND,832
710,Spain,Female,31,5,0.0,2,1,0,9561.73,0,0,3,PLATINUM,877
538,Spain,Male,43,5,0.0,2,1,0,126933.73,0,0,4,DIAMOND,587
650,France,Male,60,8,0.0,2,1,1,102925.76,0,0,3,GOLD,256
598,Germany,Male,32,9,123938.6,2,1,0,198894.42,0,0,5,DIAMOND,375
733,Germany,Male,38,9,111347.37,2,0,1,194872.97,0,0,2,GOLD,260
617,France,Female,79,7,0.0,1,1,1,160589.18,0,0,3,SILVER,424
569,Germany,Male,25,9,173459.45,2,1,1,44381.06,0,0,3,GOLD,255
600,Spain,Female,27,6,0.0,2,1,1,172031.22,0,0,2,SILVER,292
470,Germany,Male,39,5,117469.91,2,0,0,63705.9,0,0,4,DIAMOND,849
591,Germany,Female,44,10,113581.98,1,1,0,1985.41,0,0,5,GOLD,645
682,France,Female,37,8,148580.12,1,1,0,35179.18,0,0,5,GOLD,643
552,France,Male,36,8,0.0,2,0,0,132547.02,0,0,4,SILVER,498
760,Germany,Male,42,0,77992.97,2,1,1,97906.38,0,0,5,GOLD,969
683,France,Female,26,7,0.0,2,1,0,86619.77,0,0,4,DIAMOND,687
614,Spain,Female,36,1,44054.84,1,1,1,73329.08,0,0,4,SILVER,869
679,France,Female,30,1,112543.42,1,1,1,179435.21,0,0,1,PLATINUM,228
604,France,Male,40,1,84315.02,1,0,0,36209.1,0,0,3,PLATINUM,885
586,France,Male,64,1,0.0,2,1,1,53710.23,0,0,1,DIAMOND,794
477,France,Female,30,6,131286.46,1,1,0,194144.45,0,0,2,DIAMOND,325
743,Spain,Female,36,8,92716.96,1,1,1,33693.78,0,0,5,SILVER,338
645,Spain,Male,49,2,0.0,2,0,0,10023.15,0,0,3,SILVER,553
509,France,Male,18,7,102983.91,1,1,0,171770.58,0,0,5,DIAMOND,434
687,Germany,Female,41,2,154007.21,1,1,0,158408.23,0,0,5,SILVER,410
617,France,Female,26,2,165947.99,2,0,1,168834.38,0,0,5,GOLD,319
678,Spain,Female,49,8,0.0,2,0,1,98090.69,0,0,3,DIAMOND,401
666,France,Female,38,6,127043.09,1,1,1,8247.0,0,0,3,DIAMOND,965
763,France,Male,67,1,149436.73,2,0,1,106282.74,0,0,3,GOLD,340
708,Spain,Male,46,7,68799.72,1,1,1,39704.14,0,0,5,PLATINUM,287
701,Spain,Male,59,7,0.0,2,0,1,27597.59,0,0,4,SILVER,387
608,France,Female,30,8,0.0,2,1,0,128875.86,0,0,2,GOLD,657
651,Germany,Male,31,7,138008.06,2,1,0,129912.74,0,0,3,DIAMOND,423
774,France,Male,26,2,93844.69,1,1,0,28415.36,0,0,1,DIAMOND,282
596,Spain,Male,29,2,0.0,2,1,1,1591.19,0,0,2,DIAMOND,224
811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0,0,2,GOLD,946
806,Spain,Male,18,3,0.0,2,1,1,86994.54,0,0,2,GOLD,768
516,Spain,Female,27,1,0.0,1,0,1,112311.15,0,0,3,PLATINUM,638
601,Germany,Male,35,8,71553.83,1,1,0,177384.45,0,0,4,DIAMOND,448
706,Spain,Male,28,3,0.0,2,0,1,181543.67,0,0,3,SILVER,241
683,Spain,Female,36,7,0.0,2,1,0,104786.59,0,0,2,GOLD,381
615,Germany,Male,43,3,86920.86,1,1,1,150048.37,0,0,1,DIAMOND,579
706,France,Male,18,2,176139.5,2,1,0,129654.22,0,0,3,PLATINUM,405
757,France,Female,44,4,123322.15,1,1,0,137136.29,0,0,2,GOLD,521
756,France,Male,67,4,0.0,3,1,1,93081.87,0,0,1,GOLD,593
653,Spain,Male,35,9,0.0,2,1,1,45956.05,0,0,4,GOLD,441
709,France,Male,31,6,0.0,2,1,1,71009.84,0,0,4,PLATINUM,316
707,Spain,Female,32,4,132835.56,1,0,0,136877.24,0,0,2,SILVER,745
594,France,Female,49,4,0.0,2,1,1,23631.55,0,0,3,PLATINUM,801
413,Germany,Male,39,1,130969.77,2,1,1,158891.79,0,0,1,PLATINUM,827
739,Spain,Male,38,0,128366.44,1,1,0,12796.43,0,0,3,PLATINUM,631
532,Spain,Female,39,0,0.0,2,1,0,94977.3,0,0,1,PLATINUM,777
742,Germany,Male,27,5,190125.43,2,0,0,21793.59,0,0,2,DIAMOND,788
650,Spain,Male,61,1,152968.73,1,0,1,82970.69,0,0,5,DIAMOND,683
710,France,Female,37,5,0.0,2,1,0,115403.31,0,0,1,SILVER,875
666,France,Female,66,7,0.0,2,1,1,99792.82,0,0,5,GOLD,545
690,France,Female,42,3,92578.14,2,0,0,70810.6,0,0,5,DIAMOND,962
558,France,Female,47,9,0.0,2,1,0,103787.28,0,0,2,PLATINUM,251
696,Germany,Female,31,8,122021.92,2,1,0,33828.64,0,0,3,SILVER,896
770,Spain,Male,46,9,190678.02,1,1,1,14725.36,0,0,5,PLATINUM,339
779,Germany,Female,40,2,75470.23,1,1,1,52894.01,0,0,1,PLATINUM,921
648,France,Male,33,7,134944.0,1,1,1,117036.38,0,0,2,PLATINUM,219
515,France,Male,40,0,109542.29,1,1,1,166370.81,0,0,5,GOLD,312
570,Spain,Male,34,10,0.0,2,0,1,183387.12,0,0,4,SILVER,568
641,France,Male,30,2,87505.47,2,0,1,7278.57,0,0,2,DIAMOND,893
710,Germany,Male,58,7,170113.0,2,0,1,10494.64,0,0,5,DIAMOND,916
505,Germany,Female,37,6,159863.9,2,0,1,125307.87,0,0,1,GOLD,421
683,France,Male,41,6,95696.52,2,1,1,184366.14,0,0,5,GOLD,459
620,Spain,Female,43,2,0.0,2,1,0,20670.1,0,0,5,GOLD,540
696,Spain,Female,51,5,0.0,2,1,0,55022.43,0,0,4,SILVER,509
850,Germany,Male,29,1,154640.41,1,1,1,164039.51,0,0,4,DIAMOND,838
666,France,Female,41,10,141162.08,1,1,0,50908.48,0,0,2,SILVER,510
669,France,Female,31,6,113000.66,1,1,0,40467.82,0,0,4,GOLD,655
601,France,Male,44,3,0.0,2,1,0,30607.11,0,0,4,SILVER,319
584,France,Male,28,10,0.0,2,1,0,19834.32,0,0,3,GOLD,706
579,Germany,Male,31,2,90547.48,2,1,1,18800.13,0,0,1,GOLD,304
680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0,0,5,DIAMOND,307
506,France,Female,41,1,0.0,2,1,0,31766.3,0,0,4,GOLD,594
556,France,Female,46,10,0.0,2,0,0,109184.24,0,0,3,PLATINUM,950
850,Germany,Male,53,2,94078.97,2,1,0,36980.54,0,0,4,GOLD,325
737,Germany,Female,22,10,111543.26,2,0,0,106327.85,0,0,2,PLATINUM,258
537,France,Male,47,10,0.0,2,0,1,25482.62,0,0,1,PLATINUM,677
560,Spain,Female,31,5,125341.69,1,1,0,79547.39,0,0,4,PLATINUM,797
554,Spain,Male,26,8,149134.46,1,1,1,177966.24,0,0,1,SILVER,631
592,Spain,Male,31,7,110071.1,1,0,0,43921.36,0,0,3,GOLD,702
652,France,Female,34,6,97435.85,2,1,1,104331.76,0,0,5,SILVER,604
634,Spain,Female,41,4,0.0,2,1,1,164549.74,0,0,4,DIAMOND,311
521,France,Male,39,7,0.0,2,0,1,653.58,0,0,4,PLATINUM,912
804,France,Female,71,8,0.0,2,0,1,147995.96,0,0,5,SILVER,455
559,Spain,Female,39,2,0.0,2,1,1,121151.1,0,0,1,PLATINUM,453
736,Spain,Male,32,7,0.0,1,0,1,79082.62,0,0,2,DIAMOND,925
755,Germany,Female,38,1,82083.52,1,0,1,10333.78,0,0,4,DIAMOND,447
850,Germany,Female,33,2,83415.04,1,0,1,74917.64,0,0,3,PLATINUM,271
684,Germany,Male,37,4,138476.41,2,1,1,52367.29,0,0,3,SILVER,369
664,Germany,Male,25,6,172812.72,2,1,1,108008.65,0,0,3,GOLD,644
598,Spain,Male,39,1,0.0,2,1,0,159130.32,0,0,4,GOLD,493
685,Spain,Male,43,4,97392.18,2,1,0,43956.83,0,0,1,PLATINUM,689
549,Germany,Female,45,3,143734.01,2,1,1,96404.38,0,0,2,SILVER,816
663,Germany,Male,28,8,123674.28,2,1,1,87985.2,0,0,1,SILVER,925
765,France,Male,40,6,138033.55,1,1,1,67972.45,0,0,5,PLATINUM,739
662,France,Male,34,2,0.0,2,0,1,21497.27,0,0,4,GOLD,892
604,Spain,Female,39,7,98544.11,1,1,1,52327.57,0,0,2,PLATINUM,668
583,France,Female,42,4,0.0,2,1,0,17439.66,0,0,5,DIAMOND,322
620,France,Male,32,7,0.0,2,1,1,34665.79,0,0,3,PLATINUM,479
688,Spain,Female,46,3,0.0,2,0,1,104902.68,0,0,2,PLATINUM,752
554,France,Female,38,4,137654.05,2,1,1,172629.67,0,0,2,PLATINUM,326
654,Spain,Female,36,2,0.0,2,1,1,146652.11,0,0,1,PLATINUM,576
596,Spain,Female,76,9,134208.25,1,1,1,13455.43,0,0,5,DIAMOND,374
685,France,Female,40,7,0.0,2,1,0,103898.59,0,0,2,PLATINUM,858
631,Spain,Male,23,3,0.0,2,1,0,13813.24,0,0,4,GOLD,234
562,Spain,Male,41,5,165445.04,2,1,0,85787.31,0,0,4,GOLD,766
850,Spain,Female,29,10,0.0,2,1,1,94815.04,0,0,1,GOLD,251
735,Spain,Male,39,1,60374.98,1,1,0,40223.74,0,0,3,GOLD,351
593,France,Male,50,6,171740.69,1,0,0,20893.61,0,0,4,SILVER,602
411,France,Female,36,10,0.0,1,0,0,120694.35,0,0,2,PLATINUM,329
587,Spain,Female,35,3,83286.56,1,1,0,125553.52,0,0,5,DIAMOND,620
654,France,Male,29,4,132954.64,1,1,1,146715.07,0,0,3,SILVER,810
684,Germany,Male,29,8,127269.75,1,0,1,79495.01,0,0,4,PLATINUM,742
682,France,Male,61,10,73688.2,1,1,1,172141.33,0,0,2,SILVER,603
494,France,Male,30,3,85704.95,1,0,1,27886.06,0,0,2,PLATINUM,520
562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0,0,2,GOLD,374
800,France,Female,38,2,168190.33,2,1,0,68052.08,0,0,3,SILVER,874
703,Germany,Female,26,1,97331.19,1,1,0,63717.49,0,0,5,DIAMOND,425
699,France,Male,44,8,158697.61,1,1,0,107181.22,0,0,2,DIAMOND,963
574,Spain,Male,34,5,0.0,2,0,0,28269.86,0,0,5,DIAMOND,626
850,Germany,Male,39,3,124548.99,2,1,1,120380.12,0,0,2,DIAMOND,243
817,France,Male,59,1,118962.58,1,1,1,120819.58,0,0,3,GOLD,949
652,Germany,Male,33,7,128135.99,1,1,0,158437.73,0,0,5,DIAMOND,671
780,Spain,Male,47,7,86006.21,1,1,1,37973.13,0,0,1,DIAMOND,348
684,Spain,Female,39,4,139723.9,1,1,1,120612.11,0,0,2,SILVER,254
717,France,Male,40,0,98241.04,1,1,0,110887.14,0,0,3,GOLD,817
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499
850,Spain,Male,28,9,97408.03,1,1,1,175853.64,0,0,3,GOLD,962
794,France,Male,24,10,146126.75,1,1,1,88992.05,0,0,1,GOLD,431
727,France,Female,26,9,121508.28,1,1,1,146785.44,0,0,1,PLATINUM,253
755,France,Male,29,9,117035.89,1,1,1,21862.19,0,0,5,PLATINUM,301
639,France,Male,27,8,0.0,2,1,0,192247.35,0,0,2,PLATINUM,740
767,France,Female,35,2,0.0,2,0,0,144251.38,0,0,4,PLATINUM,348
844,France,Male,38,7,111501.66,1,1,1,119333.38,0,0,5,SILVER,962
628,Germany,Female,36,3,91286.51,1,1,0,63085.94,0,0,4,SILVER,676
612,Germany,Female,36,2,130700.92,2,0,0,77592.8,0,0,5,DIAMOND,351
809,Spain,Male,33,9,0.0,1,1,1,124045.65,0,0,5,GOLD,452
716,Germany,Male,27,1,122552.34,2,1,0,67611.36,0,0,5,GOLD,475
593,Spain,Male,44,5,0.0,1,1,0,128046.98,0,0,2,SILVER,569
554,Germany,Female,36,3,157780.93,2,1,0,6089.13,0,0,3,DIAMOND,530
504,Spain,Male,44,4,113522.64,1,1,1,12405.2,0,0,1,SILVER,947
678,Spain,Female,40,4,113794.22,1,1,0,16618.76,0,0,4,PLATINUM,831
592,Spain,Male,41,0,0.0,2,1,0,65906.07,0,0,4,GOLD,576
681,Germany,Male,38,6,181804.34,2,1,1,57517.71,0,0,1,SILVER,309
743,Spain,Male,25,6,0.0,2,1,0,129740.11,0,0,2,GOLD,748
632,Germany,Male,30,1,58668.02,1,1,1,78670.52,0,0,1,GOLD,398
727,France,Male,34,10,0.0,2,1,1,198637.34,0,0,4,GOLD,768
548,Germany,Female,36,2,108913.84,2,1,1,140460.01,0,0,4,SILVER,800
445,Germany,Female,34,7,131082.17,2,1,1,70618.0,0,0,4,PLATINUM,802
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0,3,SILVER,662
646,France,Male,36,6,124445.52,1,1,0,88481.32,0,0,2,SILVER,621
758,France,Female,32,2,84378.9,1,1,1,75396.43,0,0,3,PLATINUM,867
656,France,Male,39,10,0.0,2,1,1,98894.64,0,0,1,SILVER,259
793,France,Female,33,0,0.0,1,0,0,175544.02,0,0,4,GOLD,987
696,Germany,Male,42,7,162318.61,1,1,0,121061.89,0,0,5,GOLD,587
456,France,Male,29,5,107000.49,1,1,1,153419.62,0,0,4,DIAMOND,405
682,France,Female,26,0,110654.02,1,0,1,111879.21,0,0,2,PLATINUM,899
666,France,Female,27,4,0.0,2,0,0,88751.45,0,0,1,DIAMOND,818
824,France,Male,30,0,133634.02,1,1,1,162053.92,0,0,1,PLATINUM,977
850,France,Female,31,4,0.0,2,1,1,33082.81,0,0,1,PLATINUM,898
650,Spain,Female,32,4,79450.09,1,1,1,118324.75,0,0,5,SILVER,315
607,Spain,Female,25,4,121166.89,1,0,1,115288.24,0,0,1,DIAMOND,551
600,Spain,Male,36,4,0.0,2,1,0,143635.36,0,0,1,GOLD,767
850,Spain,Female,31,4,91292.7,1,1,1,162149.07,0,0,5,GOLD,956
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377
732,France,Male,36,7,0.0,2,1,1,60830.24,0,0,1,GOLD,875
710,France,Male,38,2,0.0,2,1,0,96.27,0,0,3,DIAMOND,703
590,Spain,Male,34,0,65812.35,2,0,1,160346.3,0,0,3,PLATINUM,967
634,Germany,Female,31,8,76798.92,1,0,0,196021.73,0,0,4,DIAMOND,373
691,Germany,Female,38,5,114753.76,1,1,0,107665.02,0,0,4,SILVER,490
850,Germany,Female,39,5,114491.82,1,1,0,99689.48,0,0,2,PLATINUM,949
703,France,Female,42,7,0.0,2,0,1,72500.68,0,0,3,DIAMOND,449
651,Spain,Male,47,2,0.0,2,1,1,119808.64,0,0,5,PLATINUM,758
443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0,0,4,GOLD,858
577,Spain,Male,35,5,110080.3,1,1,1,109794.31,0,0,4,PLATINUM,407
627,France,Male,41,3,0.0,2,1,0,132719.8,0,0,2,DIAMOND,902
742,France,Female,25,4,132116.13,2,1,0,129933.5,0,0,1,DIAMOND,233
775,France,Male,28,9,111167.7,1,1,0,149331.01,0,0,5,SILVER,684
640,Spain,Female,32,6,118879.35,2,1,1,19131.71,0,0,2,PLATINUM,869
725,France,Male,44,5,0.0,1,1,1,117356.14,0,0,4,SILVER,865
570,France,Female,43,9,0.0,2,0,1,11417.26,0,0,5,SILVER,236
724,France,Female,69,5,117866.92,1,1,1,62280.91,0,0,3,PLATINUM,876
645,France,Male,42,6,0.0,1,0,0,149807.01,0,0,1,GOLD,750
613,France,Female,45,1,187841.99,2,1,1,147224.27,0,0,1,PLATINUM,482
